timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664366009622,-0.45996094,-0.40234375,0.7998046999999999,-0.09375,-0.4375,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009646,-0.46875,-0.40722656,0.7988281,-0.21875,-0.90625,0.5625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009706,-0.45410156,-0.41113279999999996,0.8046875,-0.53125,-0.625,0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009736,-0.46386720000000004,-0.4091797,0.78808594,-0.21875,-0.625,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009768,-0.45703125,-0.41308594,0.79785156,0.0625,-0.90625,0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009828,-0.453125,-0.3984375,0.80078125,-0.21875,-0.5,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009858,-0.45800779999999996,-0.40039062,0.78515625,-0.15625,-0.6875,0.875,-58.375,-37.0,-89.125,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009888,-0.45117188,-0.3984375,0.7988281,-0.09375,-0.75,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009947,-0.4609375,-0.41015625,0.8027344,-0.28125,0.1875,-0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366009978,-0.45410156,-0.41503906,0.81347656,-0.34375,0.96875,-0.90625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010009,-0.45507812,-0.41601562,0.7910156,-0.09375,0.59375,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010068,-0.45019529999999996,-0.4091797,0.78515625,-0.0625,0.25,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010098,-0.44824220000000004,-0.41113279999999996,0.796875,-0.0625,0.25,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010127,-0.45800779999999996,-0.40527344,0.8066406,-0.09375,0.1875,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010190,-0.45605470000000004,-0.41015625,0.78808594,-0.0625,-0.1875,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010219,-0.45996094,-0.4013672,0.79589844,-0.09375,-0.125,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010248,-0.46191406,-0.4140625,0.7890625,0.125,-0.0625,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010307,-0.46777344,-0.40527344,0.8027344,-0.28125,0.0625,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010341,-0.45605470000000004,-0.40527344,0.7988281,-0.15625,-0.5625,0.625,-58.8125,-37.9375,-89.75,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010366,-0.45800779999999996,-0.40527344,0.80859375,-0.21875,-0.5,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010426,-0.45605470000000004,-0.41601562,0.79589844,-0.09375,-0.5,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010458,-0.45703125,-0.4033203,0.8076171999999999,-0.21875,-0.125,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010486,-0.45800779999999996,-0.41308594,0.7890625,-0.21875,-0.78125,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010546,-0.46679688,-0.4091797,0.8027344,-0.53125,-0.375,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010577,-0.45019529999999996,-0.40527344,0.79785156,-0.09375,-0.625,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010607,-0.45800779999999996,-0.4033203,0.79296875,-0.21875,-0.5,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010667,-0.45605470000000004,-0.40429688,0.79785156,-0.46875,-0.3125,0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010700,-0.45800779999999996,-0.4033203,0.7998046999999999,-0.28125,0.84375,-0.46875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010727,-0.46289062,-0.41015625,0.7988281,-0.15625,0.90625,-0.78125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010787,-0.46875,-0.40820312,0.7998046999999999,-0.15625,0.25,-0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010818,-0.45703125,-0.4033203,0.79785156,-0.09375,0.1875,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010878,-0.45703125,-0.40429688,0.78808594,-0.15625,-0.1875,0.3125,-57.625,-37.3125,-89.125,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010907,-0.45605470000000004,-0.38867188,0.8027344,-0.09375,0.0,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010938,-0.453125,-0.41015625,0.7890625,-0.28125,0.59375,0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366010968,-0.46777344,-0.41210938,0.79589844,0.4375,0.25,0.96875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011027,-0.45214844,-0.41796875,0.79003906,-0.28125,-0.1875,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011056,-0.47265625,-0.41699220000000004,0.7841796999999999,-0.0625,0.375,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011087,-0.45996094,-0.4013672,0.796875,0.4375,-0.5,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011146,-0.45898438,-0.40527344,0.78808594,-0.0625,-0.1875,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011177,-0.45214844,-0.421875,0.80371094,-0.09375,-0.3125,0.625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011208,-0.44726562,-0.4013672,0.80371094,-0.0625,-0.0625,0.4375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011269,-0.46484375,-0.41210938,0.7910156,-0.0625,-0.125,0.5,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011297,-0.45898438,-0.4033203,0.7890625,-0.28125,-0.5,0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011329,-0.45996094,-0.41015625,0.7919921999999999,-0.15625,-0.0625,0.1875,-57.75,-36.875,-91.375,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011387,-0.46191406,-0.39746094,0.8066406,0.0,-0.5,0.375,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
1664366011416,-0.45019529999999996,-0.40820312,0.7998046999999999,-0.09375,-0.0625,0.625,0.0,0.0,0.0,Thingy,Sitting,0,s1912575,,Thingy_s1912575_Sitting_28-09-2022_19-54-02
